IIIIII	(-3.16415743346954+0j)
IIIIIZ	(0.23456704916613247+0j)
IIZIII	(0.23456704916613239+0j)
IIIIZZ	(0.056242741820212216+0j)
IZZIII	(0.056242741820212216+0j)
IIIZZI	(0.056242741820212314+0j)
ZZIIII	(0.056242741820212314+0j)
IIIZII	(-0.1397732881901242+0j)
ZIIIII	(-0.1397732881901242+0j)
IIZIIZ	(0.11037347476352624+0j)
IZXIIY	-0.005915329730812567j
IIXIIY	0.005915329730812567j
IIYIZX	-0.005915329730812567j
IZXIZX	(0.02768826522093494+0j)
IIXIZX	(-0.02768826522093494+0j)
IZYIZX	0.005915329730812567j
IIYIIX	0.005915329730812567j
IZXIIX	(-0.02768826522093494+0j)
IIXIIX	(0.02768826522093494+0j)
IZYIIX	-0.005915329730812567j
IZXIZY	0.005915329730812567j
IIXIZY	-0.005915329730812567j
ZXXIYX	-0.005915329730812568j
IYYIYX	-0.005915329730812568j
IYXZXX	-0.005915329730812568j
ZXXZXX	(0.027688265220934916+0j)
IYYZXX	(0.027688265220934916+0j)
ZXYZXX	0.005915329730812568j
IYXIYY	-0.005915329730812568j
ZXXIYY	(0.027688265220934916+0j)
IYYIYY	(0.027688265220934916+0j)
ZXYIYY	0.005915329730812568j
ZXXZXY	0.005915329730812568j
IYYZXY	0.005915329730812568j
XXXYXX	-0.005527943494030663j
YXYYXX	-0.005527943494030663j
YXXXXX	-0.005527943494030663j
XXXXXX	(0.01728903984202937+0j)
YXYXXX	(0.01728903984202937+0j)
XXYXXX	0.005527943494030663j
YXXYXY	-0.005527943494030663j
XXXYXY	(0.01728903984202937+0j)
YXYYXY	(0.01728903984202937+0j)
XXYYXY	0.005527943494030663j
XXXXXY	0.005527943494030663j
YXYXXY	0.005527943494030663j
IIIIZI	(0.15788984415108892+0j)
IZZIIZ	(0.10736979680588962+0j)
IIZIZZ	(0.10736979680588962+0j)
IZIIII	(0.15788984415108892+0j)
IIIXIY	0.011480831635479286j
IIIYIY	(0.0198715734634183+0j)
IIIYIX	-0.011480831635479286j
IIIXIX	(0.0198715734634183+0j)
XXZIYX	-0.005999943664438677j
YYIIYX	-0.005999943664438677j
YXZZXX	-0.005398935536958418j
XXZZXX	(0.027645572695421495+0j)
YYIZXX	(0.027645572695421495+0j)
XYIZXX	0.005398935536958418j
YXZIYY	-0.005398935536958418j
XXZIYY	(0.027645572695421495+0j)
YYIIYY	(0.027645572695421495+0j)
XYIIYY	0.005398935536958418j
XXZZXY	0.005999943664438677j
YYIZXY	0.005999943664438677j
ZXXYXZ	-0.005398935536958418j
IYYYXZ	-0.005398935536958418j
IYXXXZ	-0.005999943664438677j
ZXXXXZ	(0.027645572695421495+0j)
IYYXXZ	(0.027645572695421495+0j)
ZXYXXZ	0.005999943664438677j
IYXYYI	-0.005999943664438677j
ZXXYYI	(0.027645572695421495+0j)
IYYYYI	(0.027645572695421495+0j)
ZXYYYI	0.005999943664438677j
ZXXXYI	0.005398935536958418j
IYYXYI	0.005398935536958418j
XIYIII	0.011480831635479286j
YIYIII	(0.0198715734634183+0j)
YIXIII	-0.011480831635479286j
XIXIII	(0.0198715734634183+0j)
ZXZYXX	-0.00565846338365745j
IXIYXX	0.00565846338365745j
ZXZXXX	(0.017709785963712366+0j)
IXIXXX	(-0.017709785963712366+0j)
ZXZYXY	(0.017709785963712366+0j)
IXIYXY	(-0.017709785963712366+0j)
ZXZXXY	0.00565846338365745j
IXIXXY	-0.00565846338365745j
YXXZXZ	-0.00565846338365745j
XXXZXZ	(0.017709785963712366+0j)
YXYZXZ	(0.017709785963712366+0j)
XXYZXZ	0.00565846338365745j
YXXIXI	0.00565846338365745j
XXXIXI	(-0.017709785963712366+0j)
YXYIXI	(-0.017709785963712366+0j)
XXYIXI	-0.00565846338365745j
IIIZZZ	(0.15788984415108898+0j)
ZZIIIZ	(0.10736979680588965+0j)
IIZZZI	(0.10736979680588965+0j)
ZZZIII	(0.15788984415108898+0j)
XZIIIY	-0.005999943664438653j
XIIIIY	0.005999943664438653j
YZIIZX	-0.00539893553695844j
XZIIZX	(0.02764557269542152+0j)
XIIIZX	(-0.02764557269542152+0j)
YIIIZX	0.00539893553695844j
YZIIIX	0.00539893553695844j
XZIIIX	(-0.02764557269542152+0j)
XIIIIX	(0.02764557269542152+0j)
YIIIIX	-0.00539893553695844j
XZIIZY	0.005999943664438653j
XIIIZY	-0.005999943664438653j
IZXYZI	-0.00539893553695844j
IIXYZI	0.00539893553695844j
IIYXZI	-0.005999943664438653j
IZXXZI	(0.02764557269542152+0j)
IIXXZI	(-0.02764557269542152+0j)
IZYXZI	0.005999943664438653j
IIYXII	0.005999943664438653j
IZXXII	(-0.02764557269542152+0j)
IIXXII	(0.02764557269542152+0j)
IZYXII	-0.005999943664438653j
IZXYII	0.00539893553695844j
IIXYII	-0.00539893553695844j
IIIZIZ	(0.17711273284559184+0j)
ZIIIIZ	(0.1072139434401058+0j)
IIZZII	(0.1072139434401058+0j)
ZIZIII	(0.17711273284559184+0j)
IZZIZZ	(0.1085800533813795+0j)
ZXZZXZ	(0.018150941184337563+0j)
IXIZXZ	(-0.018150941184337563+0j)
ZXZIXI	(-0.018150941184337563+0j)
IXIIXI	(0.018150941184337563+0j)
XXZYXZ	-0.0056054469936195365j
YYIYXZ	-0.0056054469936195365j
YXZXXZ	-0.0056054469936195365j
XXZXXZ	(0.030252298260810585+0j)
YYIXXZ	(0.030252298260810585+0j)
XYIXXZ	0.0056054469936195365j
YXZYYI	-0.0056054469936195365j
XXZYYI	(0.030252298260810585+0j)
YYIYYI	(0.030252298260810585+0j)
XYIYYI	0.0056054469936195365j
XXZXYI	0.0056054469936195365j
